acuracia;prop;somaprod;cbos
0,69557508;0,01322396;0,009198259;621005
0,79960678;0,01309302;0,010469268;622505
0,94793464;0,01520920;0,014417326;784205
0,24214218;0,08262436;0,020006842;521115
0,12272448;0,05812493;0,007133351;521110
0,13621214;0,01860079;0,002533653;411005
0,28532304;0,04015149;0,011456144;784105
0,09291793;0,02938337;0,002730242;517410
0,19098885;0,03718516;0,007101952;411010
0,23077043;0,01419723;0,003276301;354125
0,16856587;0,02260019;0,003809620;514320
0,16501676;0,01179885;0,001947007;521125
0,12593223;0,03724184;0,004689948;783225
0,13748117;0,03191817;0,004388147;782510
0,14374554;0,01247662;0,001793458;717020
0,13032823;0,09522879;0,012410999;513205
0,13512422;0,01796484;0,002427485;521140
0,12676609;0,02866456;0,003633694;715210
0,37064895;0,10375018;0,038454894;514225
0,26336259;0,02367626;0,006235440;517330
0,15408018;0,03274877;0,005045937;414105
0,18552447;0,03620134;0,006716234;422105
0,92992198;0,01425899;0,013259748;212405
0,15393686;0,02173167;0,003345305;513435
0,12098380;0,01922579;0,002326009;513505
0,11982291;0,04097232;0,004909422;421125
0,19216407;0,03169459;0,006090562;513405
0,32111774;0,01636149;0,005253964;422310
0,34708202;0,01483357;0,005148466;422315
0,27694797;0,06485769;0,017962205;322205
